second,throughput
0,288
1,355
2,609
3,687
4,937
5,1007
6,1245
7,1246
8,1543
9,1507
10,1790
11,1782
12,1939
13,2080
14,2024
15,2169
16,2473
17,2429
18,2620
19,2397
20,2633
21,2688
22,2647
23,2593
24,2843
25,3083
26,3213
27,2966
28,3305
29,3501
30,3329
31,3150
32,3554
33,3501
34,3380
35,3819
36,3575
37,3627
38,3716
39,3729
40,3783
41,3667
42,3830
43,3926
44,3922
45,3779
46,3609
47,4055
48,4040
49,4118
50,3891
51,3992
52,4077
53,4550
54,4188
55,4483
56,4484
57,4476
58,4492
59,4693
60,4575
61,4661
62,4655
63,4682
64,4517
65,4443
66,3943
67,4020
68,4204
69,4243
70,3757
71,4129
72,4527
73,3959
74,4459
75,4251
76,4571
77,4347
78,4435
79,4432
80,4510
81,4274
82,4382
83,4309
84,4003
85,3811
86,4153
87,3770
88,4117
89,4072
90,3859
91,4222
92,4322
93,4381
94,4388
95,4273
96,4275
97,4491
98,4582
99,3929
100,4548
101,4522
102,4002
103,4215
104,4505
105,4010
106,4183
107,3935
108,4187
109,4246
110,3570
111,4677
112,4100
113,4500
114,4048
115,4006
116,4247
117,3703
118,4471
119,4165
120,4589
121,4161
122,3957
123,3848
124,4007
125,4230
126,3863
127,3892
128,3928
129,4093
130,3923
131,3981
132,3981
133,3698
134,3927
135,3567
136,3736
137,3664
138,3894
139,4083
140,4040
141,3698
142,3866
143,3467
144,3756
145,3752
146,3360
147,3263
148,3462
149,3116
150,3364
151,3231
152,3178
153,2912
154,3055
155,3162
156,2930
157,2811
158,2575
159,2747
160,2759
161,2505
162,2558
163,2337
164,2209
165,2088
166,1818
167,1753
168,1514
169,1209
170,941
171,552
172,183
